Library #,sample,rxn_name,rxn_num,Ave_delta_Cp,individual,condition,Pooling ratio,cot-multiplier,total_dna_in_capture,individual_dna_in_capture,post-50_uL_PCR_concentration_cleaned,CTSonly6iterMapped,CTSonly6iterdupes,CTSonly6iterPercDupes,CTSonly6iterTotalReads,CTSonly6iterRawMapRate,CTSonly6iterDiscountMapRate,AverageTargetDepthAcrossHSP,max100AverageTargetDepth,aveUnder5Counts,aveOver5Counts,aveOver10Counts,aveOver15Counts,aveOver20Counts,max100AveUnder5Counts,max100AveOver5Counts,max100AveOver10Counts,max100AveOver15Counts,max100AveOver20Counts,all3Assembly_mapped,all3Assembly_totalReads,all3AssemblyRawMapRate,all3Assembly_dupes,all3Assembly_percDupes,all3AssemblyDiscountMapRate
1,01A_0801_CTS,1_C115,1,9.2388,blue,3,1:01,1,500,500,1.483493016,449309,99946,0.222443797,2958642,0.151863253,0.118082215,6.266365163,7.67874086,3939,4273,1364,259,77,3235,4977,2196,669,175,416347,2959821,0.140666277,85762,0.205986833,0.111690876
2,01A_0809_F1,5_F165,5,8.113,green,15,1:01,6,500,500,0.9565732,1024200,171051,0.167009373,3114182,0.328882512,0.27395605,18.63052426,21.76355134,1073,7139,5920,4690,3402,894,7318,6246,5188,4076,969304,3113021,0.311370852,158568,0.163589545,0.260433836
3,01A_0905_BTS,24_P465,24,9.864,red,8,1:08,6,500,40,7.0128,911637,275872,0.302611675,5453550,0.167163957,0.116578192,6.577097508,7.736512997,2951,5261,1128,157,57,2368,5844,2124,330,101,872968,5454091,0.160057469,266638,0.305438458,0.111169762
4,01B_0802_CTS,4_C165,4,7.6988,blue,15,1:01,6,500,500,0.6431776,565995,91731,0.162070336,2227822,0.25405755,0.212882358,13.2219826,15.84985121,1659,6553,4816,3093,1616,1377,6835,5365,3895,2492,537183,2228264,0.24107691,85673,0.159485687,0.202628593
5,01B_0810_F1,14_F161,14,10.883,green,18,1:01,6,1000,1000,1.9908411,842002,95896,0.113890466,2420350,0.347884397,0.308263681,20.89449253,24.45429583,879,7333,6290,5144,4032,745,7467,6590,5623,4636,794968,2419251,0.328600877,86696,0.109055962,0.292764992
6,01B_0906_BTS,24_P465,24,9.864,red,11,1:08,6,500,80,7.0128,1849975,614057,0.331927188,11126430,0.166268516,0.111079475,6.322039358,7.307180653,2967,5245,780,110,51,2477,5735,1666,215,81,1770686,11128549,0.159112028,595142,0.336108152,0.105633178
7,01C_0803_CTS,7_C1125,7,8.505,blue,21,1:01,12,500,500,6.9427,451075,47727,0.105807238,2771561,0.162751244,0.145530984,7.699265514,9.272808766,2649,5563,2300,488,129,2166,6046,3306,1134,306,433911,2772516,0.156504417,48365,0.11146295,0.139059973
8,01C_0811_F1,11_F111,11,8.632,green,6,1:01,1,1000,1000,4.3341221,385243,58684,0.152329828,2407852,0.159994468,0.135622538,7.742394533,9.417880444,3102,5110,2327,682,167,2577,5635,3195,1379,456,358235,2407147,0.148821406,50083,0.139804877,0.128015447
9,01C_0907_BTS,24_P465,24,9.864,red,12,1:08,6,500,100,7.0128,1845993,619643,0.335669204,11585499,0.159336512,0.105852152,5.941443855,6.864381894,3281,4931,485,97,37,2702,5510,1214,182,57,1770025,11588016,0.152746165,603134,0.340748859,0.100698083
10,01D_0804_CTS,10_C111,10,9.1638,blue,6,1:01,1,1000,1000,3.3131132,342378,55894,0.163252312,2081654,0.164474019,0.137623255,7.535975987,9.312465365,3242,4970,2183,602,152,2655,5557,3102,1281,417,315212,2081846,0.151409855,45716,0.14503255,0.129450497
11,01D_0812_F1,17_F1121,17,9.446,green,24,1:01,12,1000,1000,7.5819,458605,42245,0.092116309,2894537,0.15843812,0.143843385,7.778829883,9.299539876,2534,5678,2372,473,111,2078,6134,3364,1096,269,444777,2895596,0.153604647,44244,0.099474568,0.138324891
12,01D_0908_BTS,24_P465,24,9.864,red,13,1:08,6,500,120,7.0128,2237750,754611,0.337218635,13868847,0.161350832,0.106940325,5.985758909,6.878730868,3202,5010,524,90,38,2661,5551,1209,176,58,2144101,13871120,0.154573027,734778,0.342697476,0.101601241
13,01E_0805_CTS,13_C161,13,8.863,blue,18,1:01,6,1000,1000,1.4930218,645786,76942,0.119144732,2513946,0.256881413,0.226275346,13.96570762,16.59244484,1444,6768,5065,3330,1873,1182,7030,5597,4133,2738,611953,2514291,0.243389886,71073,0.116141272,0.215122275
14,01E_0901_BTS,3_B165,3,7.82,red,15,1:01,6,500,500,1.6394393,376853,43667,0.115872767,2205955,0.170834401,0.151039346,8.731740266,10.62106874,2631,5581,2993,1126,295,2143,6069,3853,1958,761,364462,2206785,0.165155192,43361,0.118972623,0.145506246
15,01E_0909_BTS,24_P465,24,9.864,red,9,1:08,6,500,60,7.0128,996147,289928,0.291049413,5289137,0.188338287,0.133522539,7.856173802,9.201418876,2214,5998,2215,309,100,1835,6377,3363,727,191,947710,5288756,0.179193368,276452,0.291705268,0.126921718
16,01F_0806_CTS,16_C1121,16,8.461,blue,24,1:01,12,1000,1000,8.7946,370725,33789,0.091143031,2277994,0.162741869,0.147909081,7.681200608,9.320476758,2662,5550,2281,480,142,2164,6048,3319,1120,333,356961,2278702,0.156651023,34319,0.096142156,0.141590256
17,01F_0902_BTS,9_B111,9,10.187,red,6,1:01,1,1000,1000,3.4475932,336852,47859,0.142077233,1990918,0.169194311,0.145155652,8.646417849,10.59767906,2751,5461,2811,1018,289,2268,5944,3700,1823,745,311859,1990303,0.156689208,39766,0.127512754,0.136709335
NA,01F_0910_DSN_BTS,24_P465,24,9.864,red,8,1:08,6,500,40,7.0128,794236,681061,0.85750457,3700493,0.21462978,0.030583763,0.40268993,0.647048883,8195,17,13,10,9,8187,25,15,11,11,749433,3700077,0.202545244,640769,0.85500505,0.029368037
18,01G_0807_F1,2_F115,2,4.652,green,3,1:01,1,500,500,43.001443,147341,28912,0.196225083,2184932,0.067435051,0.054202602,0.267619367,0.467848649,8202,10,8,5,5,8197,15,10,9,7,152576,2187337,0.069754226,33745,0.221168467,0.054326791
19,01G_0903_BTS,12_B161,12,10.435,red,18,1:01,6,1000,1000,3.2213707,419129,36594,0.087309635,1990721,0.210541306,0.192159022,11.90654648,14.30247338,1808,6404,4437,2541,1145,1514,6698,5089,3408,1976,402384,1991132,0.202088058,35103,0.087237564,0.184458388
NA,01G_0911_DSN_CTS,24_P465,24,9.864,blue,8,1:08,6,500,40,7.0128,1049716,870142,0.828930873,5827518,0.180130889,0.030814834,0.308866487,0.491776217,8197,15,11,8,8,8194,18,12,10,9,995449,5828373,0.170793633,823068,0.826830907,0.029576178
20,01H_0808_F1,8_F1125,8,9.833,green,21,1:01,12,500,500,5.0128,449069,39697,0.088398442,2647932,0.169592346,0.154600647,8.52356106,10.1939577,2323,5889,2867,764,186,1896,6316,3845,1569,473,435010,2648960,0.164219165,40881,0.09397715,0.148786316
21,01H_0904_BTS,15_B1121,15,9.999,red,24,1:01,12,1000,1000,5.3939,443632,37775,0.085149403,2715022,0.163399044,0.149485713,8.433262198,10.09179179,2326,5886,2866,691,164,1893,6319,3834,1510,413,430419,2715871,0.158482859,39132,0.090916061,0.144074221
22,02A_0801_F1,18_P415,18,6.668,green,1,1:08,1,500,62.5,1.1429643,622181,292714,0.470464383,3720256,0.167241448,0.088560303,4.694257372,5.723480207,5012,3200,378,69,36,4262,3950,921,154,63,578314,3720037,0.155459206,267889,0.463224131,0.083446751
23,02A_0905_BTS,6_B1125,6,9.773,red,21,1:01,12,500,500,8.7956,407056,35599,0.087454797,2582697,0.157608887,0.143825234,8.161002497,9.802612274,2428,5784,2621,655,158,2001,6211,3613,1430,404,396472,2583941,0.15343694,36961,0.093224742,0.139132821
24,02B_0802_F1,19_P465,19,9.637,green,14,1:04,6,500,125,2.3596885,698904,222655,0.318577373,5162728,0.135374941,0.092247548,4.450709428,5.356344125,5119,3093,246,46,24,4218,3994,664,106,39,680560,5165406,0.131753438,222519,0.326964559,0.088674733
25,02B_0906_CTS,18_P415,18,6.668,blue,2,1:04,1,500,125,1.1429643,1251578,608109,0.485873833,7101887,0.176231754,0.090605356,4.743705382,5.644457973,4929,3283,303,67,34,4169,4043,703,131,57,1154020,7103321,0.162462037,548318,0.475137346,0.085270256
26,02C_0803_F1,19_P465,19,9.637,green,10,1:08,6,500,62.5,2.3596885,497755,153817,0.309021507,3230286,0.154090071,0.106472925,5.455025891,6.631136315,4141,4071,773,108,42,3364,4848,1576,288,84,482524,3231870,0.149301797,151263,0.313482853,0.102498244
27,02C_0907_CTS,18_P415,18,6.668,blue,1,1:08,1,500,62.5,1.1429643,522611,249259,0.476949394,2971824,0.1758553,0.091981221,4.658994034,5.759672024,5103,3109,360,72,33,4216,3996,874,160,64,483467,2973084,0.162614645,225202,0.465806353,0.08686771
28,02D_0804_F1,20_P4125,20,10.432,green,20,1:04,12,500,125,1.8736,1125830,223301,0.198343444,6160380,0.182753337,0.14650541,8.366301752,9.71558208,2150,6062,2809,523,127,1787,6425,3689,1146,273,1086458,6162278,0.176307852,222525,0.204816937,0.140197018
29,02D_0908_CTS,19_P465,19,9.637,blue,14,1:04,6,500,125,2.3596885,1153351,388567,0.336902643,6953835,0.165858264,0.109980176,5.669275397,6.698088205,3907,4305,859,122,50,3297,4915,1623,267,97,1105576,6956146,0.158935134,377791,0.341714183,0.104624745
30,02E_0805_F1,20_P4125,20,10.432,green,19,1:08,12,500,62.5,1.8736,538499,95018,0.176449724,2696851,0.199676957,0.164444013,9.667511423,11.49448224,1882,6330,3664,1207,272,1532,6680,4487,2208,712,518267,2697465,0.192131131,92421,0.178327001,0.157868962
31,02E_0909_CTS,19_P465,19,9.637,blue,10,1:08,6,500,62.5,2.3596885,520443,162042,0.311353981,3296230,0.157890378,0.10873058,5.385869496,6.55179451,4184,4028,720,122,45,3401,4811,1446,292,93,500420,3296989,0.151780913,157924,0.31558291,0.103881451
32,02F_0806_BTS,18_P415,18,6.668,red,2,1:04,1,500,125,1.1429643,824153,384657,0.466730085,4844722,0.170113579,0.090716454,5.082620167,6.149880459,4615,3597,490,85,37,3869,4343,1129,184,61,763670,4843424,0.157671515,351741,0.460592926,0.085049131
33,02F_0910_CTS,20_P4125,20,10.432,blue,20,1:04,12,500,125,1.8736,1156949,243337,0.210326471,6007766,0.192575576,0.152071835,8.552716229,9.958153313,2066,6146,2913,589,153,1733,6479,3811,1268,314,1107445,6009738,0.184275088,237280,0.214258947,0.144792502
34,02G_0807_BTS,19_P465,19,9.637,red,14,1:04,6,500,125,2.3596885,856983,279078,0.325651734,6028036,0.142166205,0.095869534,4.961481767,5.904669451,4476,3736,362,68,28,3716,4496,942,136,58,833487,6030943,0.13820177,277676,0.333149767,0.092159883
35,02G_0911_CTS,20_P4125,20,10.432,blue,19,1:08,12,500,62.5,1.8736,494948,83050,0.167795405,2452756,0.201792596,0.167932725,9.597252392,11.49178707,1911,6301,3536,1198,284,1557,6655,4442,2213,771,472927,2453175,0.192781599,79852,0.168846355,0.160231129
36,02H_0808_BTS,20_P4125,20,10.432,red,20,1:04,12,500,125,1.8736,1262945,263599,0.208717719,6841290,0.184606266,0.146075667,8.666617355,10.05159236,1959,6253,3061,577,147,1656,6556,3960,1248,278,1220457,6842937,0.178352804,263124,0.21559465,0.139900893
37,02H_0912_F1,18_P415,18,6.668,green,2,1:04,1,500,125,1.1429643,723554,333821,0.461362939,4378297,0.165259232,0.089014747,4.820618677,5.828241124,4909,3303,440,78,35,4095,4117,955,170,56,673303,4377834,0.153798202,306062,0.454568003,0.083886461
38,03A_0809_BTS,21_P411,21,9.128,red,5,1:04,1,1000,250,5.0457694,900447,253057,0.281034864,5906793,0.15244262,0.109600929,6.093004649,7.237681684,3741,4471,1076,164,53,3149,5063,1887,350,110,841139,5906049,0.142419916,230609,0.274162772,0.103373677
39,03A_0905_CTS,23_P4121,23,7.482,blue,23,1:04,12,1000,250,7.2826,1151176,201306,0.174869872,6770119,0.170037779,0.140303295,7.644218864,8.906021361,2422,5790,2154,324,108,2037,6175,3109,733,209,1105393,6771876,0.163232906,201044,0.181875586,0.133544826
40,03B_0810_BTS,22_P461,22,10.725,red,17,1:04,6,1000,250,1.4020561,1762852,672067,0.38123847,6809227,0.258891648,0.160192192,10.11458416,11.74113099,1862,6350,3887,1565,346,1584,6628,4559,2435,838,1674246,6808097,0.245919822,638371,0.381288652,0.152153384
41,03B_0906_F1,21_P411,21,9.128,green,5,1:04,1,1000,250,5.0457694,1146873,341231,0.297531636,7287893,0.157366882,0.110545256,6.027019655,7.102316246,3758,4454,1035,151,55,3209,5003,1821,328,100,1072589,7288048,0.147170957,311936,0.290825283,0.104369922
42,03C_0811_BTS,23_P4121,23,7.482,red,23,1:04,12,1000,250,7.2826,1272741,212417,0.166897271,7076412,0.179856826,0.149839212,8.817209267,10.21759743,1970,6242,3146,640,147,1649,6563,4039,1397,310,1227623,7078389,0.173432542,214583,0.174795519,0.143117311
43,03C_0907_F1,21_P411,21,9.128,green,4,1:08,1,1000,125,5.0457694,407943,103177,0.252920138,2563085,0.159160933,0.118905928,6.357169956,7.780051811,3719,4493,1367,233,72,3062,5150,2293,632,167,382000,2563188,0.149033157,93060,0.243612565,0.112726807
44,03D_0812_CTS,21_P411,21,9.128,blue,5,1:04,1,1000,250,5.0457694,1159357,358163,0.308932451,7240939,0.160111416,0.110647804,5.750540844,6.807747196,4017,4195,861,126,55,3391,4821,1588,268,96,1076431,7243949,0.148597264,320670,0.29790112,0.104329973
45,03D_0908_F1,22_P461,22,10.725,green,17,1:04,6,1000,250,1.4020561,1525221,536404,0.351689362,5864375,0.260082447,0.168614217,10.52204862,12.24682096,1849,6363,4032,1819,504,1589,6623,4710,2672,1085,1448341,5863993,0.246988869,508911,0.351375125,0.160203124
46,03E_0901_CTS,21_P411,21,9.128,blue,4,1:08,1,1000,125,5.0457694,461735,124728,0.27012897,2841543,0.162494462,0.1186,6.150827228,7.530822468,3870,4342,1221,215,73,3199,5013,2104,531,159,429025,2842435,0.150935729,110796,0.258250685,0.111956474
47,03E_0909_F1,22_P461,22,10.725,green,16,1:08,6,1000,125,1.4020561,677658,232320,0.342827798,2732942,0.247959159,0.162951867,10.11173749,12.06353627,2053,6159,3807,1659,489,1703,6509,4530,2602,1109,644055,2732999,0.235658703,219198,0.340340499,0.155454503
48,03F_0902_CTS,22_P461,22,10.725,blue,17,1:04,6,1000,250,1.4020561,1476090,551931,0.373914192,5956056,0.247830108,0.155162913,9.329406539,10.91645024,2172,6040,3451,1145,261,1825,6387,4165,1992,601,1398179,5957611,0.234687864,520805,0.372488072,0.147269434
49,03F_0910_F1,23_P4121,23,7.482,green,23,1:04,12,1000,250,7.2826,1234382,200170,0.162162118,6940534,0.177851157,0.149010436,8.475276461,9.806283498,2098,6114,2909,516,146,1777,6435,3777,1202,271,1190248,6942553,0.171442407,202941,0.170503122,0.142210942
50,03G_0903_CTS,22_P461,22,10.725,blue,16,1:08,6,1000,125,1.4020561,941140,339603,0.36084217,3581469,0.26278044,0.167958176,10.21961208,12.10132138,2001,6211,3863,1645,475,1664,6548,4566,2545,1075,890454,3581783,0.248606351,319137,0.358398076,0.159506313
51,03G_0911_F1,23_P4121,23,7.482,green,22,1:08,12,1000,125,7.2826,515622,61761,0.119779606,2747365,0.187678739,0.165198654,9.450103483,11.23121468,1956,6256,3478,1127,268,1610,6602,4371,2090,676,497050,2747987,0.180877857,61647,0.124025752,0.158444345
52,03H_0904_CTS,23_P4121,23,7.482,blue,22,1:08,12,1000,125,7.2826,546173,76777,0.140572676,3183805,0.171547252,0.147432396,7.829477562,9.353272196,2508,5704,2361,425,126,2015,6197,3407,1048,276,523898,3184450,0.164517578,75747,0.144583488,0.140731052
53,03H_0912_BTS,24_P865,24,9.864,red,7,1:08,6,500,20,7.0128,413521,108332,0.261974603,2402798,0.172099777,0.127014006,6.975183233,8.463486502,2865,5347,1566,237,80,2269,5943,2682,655,172,395327,2403181,0.16450155,102789,0.260010068,0.121729491
