Sample	aveUnder5Counts	aveOver5Counts	aveOver10Counts	aveOver15Counts	aveOver20Counts	max100AveUnder5Counts	max100AveOver5Counts	max100AveOver10Counts	max100AveOver15Counts	max100AveOver20Counts
01A_0801_CTS	3939	4273	1364	259	77	3235	4977	2196	669	175
01A_0809_F1	1073	7139	5920	4690	3402	894	7318	6246	5188	4076
01A_0905_BTS	2951	5261	1128	157	57	2368	5844	2124	330	101
01B_0802_CTS	1659	6553	4816	3093	1616	1377	6835	5365	3895	2492
01B_0810_F1	879	7333	6290	5144	4032	745	7467	6590	5623	4636
01B_0906_BTS	2967	5245	780	110	51	2477	5735	1666	215	81
01C_0803_CTS	2649	5563	2300	488	129	2166	6046	3306	1134	306
01C_0811_F1	3102	5110	2327	682	167	2577	5635	3195	1379	456
01C_0907_BTS	3281	4931	485	97	37	2702	5510	1214	182	57
01D_0804_CTS	3242	4970	2183	602	152	2655	5557	3102	1281	417
01D_0812_F1	2534	5678	2372	473	111	2078	6134	3364	1096	269
01D_0908_BTS	3202	5010	524	90	38	2661	5551	1209	176	58
01E_0805_CTS	1444	6768	5065	3330	1873	1182	7030	5597	4133	2738
01E_0901_BTS	2631	5581	2993	1126	295	2143	6069	3853	1958	761
01E_0909_BTS	2214	5998	2215	309	100	1835	6377	3363	727	191
01F_0806_CTS	2662	5550	2281	480	142	2164	6048	3319	1120	333
01F_0902_BTS	2751	5461	2811	1018	289	2268	5944	3700	1823	745
01F_0910_DSN_BTS	8195	17	13	10	9	8187	25	15	11	11
01G_0807_F1	8202	10	8	5	5	8197	15	10	9	7
01G_0903_BTS	1808	6404	4437	2541	1145	1514	6698	5089	3408	1976
01G_0911_DSN_CTS	8197	15	11	8	8	8194	18	12	10	9
01H_0808_F1	2323	5889	2867	764	186	1896	6316	3845	1569	473
01H_0904_BTS	2326	5886	2866	691	164	1893	6319	3834	1510	413
02A_0801_F1	5012	3200	378	69	36	4262	3950	921	154	63
02A_0905_BTS	2428	5784	2621	655	158	2001	6211	3613	1430	404
02B_0802_F1	5119	3093	246	46	24	4218	3994	664	106	39
02B_0906_CTS	4929	3283	303	67	34	4169	4043	703	131	57
02C_0803_F1	4141	4071	773	108	42	3364	4848	1576	288	84
02C_0907_CTS	5103	3109	360	72	33	4216	3996	874	160	64
02D_0804_F1	2150	6062	2809	523	127	1787	6425	3689	1146	273
02D_0908_CTS	3907	4305	859	122	50	3297	4915	1623	267	97
02E_0805_F1	1882	6330	3664	1207	272	1532	6680	4487	2208	712
02E_0909_CTS	4184	4028	720	122	45	3401	4811	1446	292	93
02F_0806_BTS	4615	3597	490	85	37	3869	4343	1129	184	61
02F_0910_CTS	2066	6146	2913	589	153	1733	6479	3811	1268	314
02G_0807_BTS	4476	3736	362	68	28	3716	4496	942	136	58
02G_0911_CTS	1911	6301	3536	1198	284	1557	6655	4442	2213	771
02H_0808_BTS	1959	6253	3061	577	147	1656	6556	3960	1248	278
02H_0912_F1	4909	3303	440	78	35	4095	4117	955	170	56
03A_0809_BTS	3741	4471	1076	164	53	3149	5063	1887	350	110
03A_0905_CTS	2422	5790	2154	324	108	2037	6175	3109	733	209
03B_0810_BTS	1862	6350	3887	1565	346	1584	6628	4559	2435	838
03B_0906_F1	3758	4454	1035	151	55	3209	5003	1821	328	100
03C_0811_BTS	1970	6242	3146	640	147	1649	6563	4039	1397	310
03C_0907_F1	3719	4493	1367	233	72	3062	5150	2293	632	167
03D_0812_CTS	4017	4195	861	126	55	3391	4821	1588	268	96
03D_0908_F1	1849	6363	4032	1819	504	1589	6623	4710	2672	1085
03E_0901_CTS	3870	4342	1221	215	73	3199	5013	2104	531	159
03E_0909_F1	2053	6159	3807	1659	489	1703	6509	4530	2602	1109
03F_0902_CTS	2172	6040	3451	1145	261	1825	6387	4165	1992	601
03F_0910_F1	2098	6114	2909	516	146	1777	6435	3777	1202	271
03G_0903_CTS	2001	6211	3863	1645	475	1664	6548	4566	2545	1075
03G_0911_F1	1956	6256	3478	1127	268	1610	6602	4371	2090	676
03H_0904_CTS	2508	5704	2361	425	126	2015	6197	3407	1048	276
03H_0912_BTS	2865	5347	1566	237	80	2269	5943	2682	655	172
