informativeSNPs	Target
2	contig00003|E19A4|OPA
3	contig01346|E20C7|OPA
8	contig03967|E7E8|OPA
8	contig04743|E20E5|OPA
8	contig05907|E21E4|OPA
3	contig07102|E15A1|OPA
6	contig100034|ITGB1BP1|6
4	contig100104|MPHOSPH6|2
1	contig100772|PSMB3|8
7	contig100786|SACS|12
3	contig100795|PIK3R2|9
1	contig100813|PIK3R1|2
1	contig100823|UGGT1|5
4	contig100832|TSPAN15|6
7	contig100859|TFPI|12
1	contig100879|AP3B2|8
1	contig100887|ANKRD11|11
2	contig100924|PRIC285|11
5	contig100960|B4GALT3|11
2	contig100976|SNX13|3
1	contig100985|AIFM3|11
8	contig101005|APRT|8
2	contig101023|PLEKHM2|6
9	contig101030|DPP3|11
1	contig101056|PACRG|9
5	contig101087|MAT2A|6
3	contig101093|UHRF2|8
2	contig101239|NR4A1|11
2	contig1013065|RPL18|8
2	contig101309|UNC93B1|6
2	contig101337|KIF20B|12
4	contig101346|CASP5|6
1	contig101408|HEXB|8
5	contig101425|CEP19|3
3	contig101438|POU2F1|6
2	contig101527|C12orf51|9
1	contig101569|POLK|8
2	contig101614|SENP5|8
9	contig101632|PIGL|12
1	contig101654|POLA2|8
6	contig101661|E7C7|OPA
7	contig101984|TMEM213|11
2	contig102182|PDLIM3|6
1	contig102193|PHB|6
2	contig102247|TAMM41|6
3	contig102419|DNAJC27|6
2	contig102622|MRPL27|8
3	contig1027454|MTUS2|8
1	contig1028088|E7G10|OPA
6	contig1029026|ITGB6|6
1	contig102910|CMBL|8
2	contig102955|AGPHD1|8
3	contig1031606|ATP11C|9
1	contig104432|NUPL1|8
1	contig104451|HIP1R|8
1	contig104468|ANKRD1|8
8	contig104501|SPC24|11
7	contig104503|MRPL40|8
1	contig104539|TALDO1|11
10	contig104602|HSD17B10|6
5	contig104666|CISD1|8
6	contig104743|COX5A|8
3	contig104751|NUB1|8
3	contig104873|ZDHHC3|7
2	contig104883|KDM2B|7
4	contig104915|SH3BP5|8
1	contig104919|PRKCSH|8
3	contig104944|TTC31|12
7	contig104959|SYTL5|6
4	contig105042|PKIA|11
1	contig105098|CDH18|6
2	contig105176|PTS|11
1	contig105227|RNF220|6
1	contig105375|NAT9|8
3	contig105584|XPO4|6
5	contig105591|XIRP2|12
1	contig105632|KPNA4|3
1	contig105650|ACO1|6
1	contig105655|COPA|8
5	contig105776|C12orf43|9
6	contig106313|VCAN|11
5	contig106323|KDM5A|11
7	contig106335|TMEM43|6
11	contig106371|FARSB|6
6	contig106384|TES|11
1	contig106393|OGT|6
2	contig106399|CHD6|11
2	contig106418|CEP170|6
2	contig106433|SLC7A1|7
2	contig106456|MAPRE2|11
4	contig106487|RNF8|6
5	contig106521|CMKLR1|12
1	contig106537|MIER3|7
2	contig106545|MYO10|12
2	contig106553|SDF4|11
1	contig106569|MTMR14|11
3	contig106609|KITLG|11
1	contig106631|WDR45L|3
3	contig106641|TP53RK|6
4	contig106719|OGFOD2|8
3	contig106755|FAM18B1|4
4	contig106762|FAM172A|8
2	contig106905|TMEM205|11
2	contig106994|ZC3H7B|8
5	contig106999|GNG11|6
1	contig107039|GNMT|3
1	contig107068|FGF18|6
4	contig107147|C1orf123|8
3	contig107241|NDUFAF1|6
1	contig107255|RUNX1|6
3	contig107274|ASMTL|7
5	contig107295|TXNDC15|8
1	contig107377|NSMCE1|8
5	contig107407|C5orf51|11
5	contig107423|LYAR|11
4	contig107439|RSU1|8
4	contig107670|KCNE3|11
7	contig107703|TIMM22|11
6	contig107727|MRPS18A|6
4	contig107818|TCEB1|8
6	contig108330|GOLM1|8
2	contig108349|ALDH3A1|11
4	contig108351|ATF7IP|8
2	contig108395|SEC31A|8
3	contig108400|LGALS3BP|11
14	contig108415|SMPDL3A|11
4	contig108434|VMP1|8
3	contig108439|INSR|6
2	contig108472|STAG2|3
1	contig108551|TXNRD1|3
1	contig108569|PACSIN3|5
4	contig108591|TOMM40L|6
5	contig108643|UAP1|11
2	contig108663|ARHGAP27|11
3	contig108718|GDAP1|8
2	contig108752|ITM2B|8
3	contig108933|SEC16A|11
1	contig109012|ING1|6
2	contig109060|CPA3|11
4	contig109066|SEC22A|11
2	contig109154|ATP5J|11
5	contig109283|CCDC103|11
2	contig109369|SURF6|8
1	contig109394|BOD1|11
1	contig109523|ANKRD46|6
2	contig109576|DIP2A|6
1	contig109679|FAM120B|11
8	contig109834|SNRPB2|6
7	contig109879|C16orf87|11
4	contig109995|NUDT14|11
2	contig110057|DCUN1D5|1
1	contig110641|TMEM60|8
1	contig110817|CGA|8
4	contig110824|MIF|8
5	contig110866|FABP6|8
5	contig111066|NDUFA12|6
1	contig111185|FBXO11|1
4	contig111232|POM121C|11
1	contig111242|DSP|12
3	contig111263|ERI3|8
4	contig111280|TNC|6
3	contig111297|KATNB1|11
1	contig111304|NT5DC2|8
1	contig111319|VWA5A|11
2	contig111379|RAB32|11
2	contig111392|ARHGAP26|3
2	contig111409|TBC1D25|12
8	contig111506|PCSK9|9
1	contig111532|SMG6|6
1	contig111705|ACTR1B|6
2	contig111711|C3orf23|6
1	contig111786|POLR2E|6
2	contig111813|NUDCD3|6
2	contig111815|UBA3|3
15	contig111919|ADAM12|11
2	contig112088|ARPC1A|2
1	contig112098|TMEM150C|6
4	contig112203|SERPINI1|11
2	contig112303|MRPL32|11
1	contig112519|LSMD1|11
9	contig112715|C1orf50|6
1	contig112887|CAV2|2
3	contig112912|NDUFS3|7
2	contig112998|OBFC1|11
1	contig113004|TLL1|8
8	contig113018|C5orf63|6
2	contig113280|CDK12|11
3	contig113316|TNFAIP1|6
2	contig113339|ASAP1|3
2	contig113352|SH3BP2|8
2	contig113394|PNISR|11
2	contig113401|FANCI|8
5	contig113414|USP31|6
2	contig113421|NFATC1|6
1	contig113462|GRINA|6
1	contig113511|ETS2|8
1	contig113548|PACS2|6
2	contig113652|MBIP|11
3	contig113668|MORC2|7
1	contig113701|SLC36A4|8
2	contig113738|SHC1|11
1	contig113757|ODC1|6
3	contig113793|EVL|8
2	contig113819|PRRC2C|8
5	contig113829|CDC7|11
5	contig113833|TM7SF2|8
2	contig113917|KLC1|2
3	contig114241|DECR2|6
5	contig114302|ABCG2|6
5	contig114330|C12orf4|8
4	contig114409|TATDN1|11
1	contig114611|PNLDC1|11
1	contig114779|GINS3|6
2	contig114828|POLB|4
9	contig114898|MRPL14|6
1	contig114981|CHCHD6|8
1	contig115128|NMRK1|11
3	contig115438|RTEL1|6
2	contig117279|TJP1|11
1	contig117286|LAMB1|11
3	contig117307|WNK1|11
4	contig117313|EPN2|11
3	contig117322|SLC4A1|8
1	contig117349|ANKHD1-EIF4EBP3|4
1	contig117355|ARHGAP9|8
2	contig117368|PRKCA|8
3	contig117375|ABCC2|9
1	contig117396|HLTF|8
1	contig117411|ARID2|3
4	contig117429|PHF3|11
3	contig117484|PPP1CB|11
3	contig117495|PDXK|8
1	contig117508|DDX18|11
3	contig117525|UVRAG|7
11	contig117544|LMBRD2|6
3	contig117564|CACHD1|3
1	contig117571|E6C2|OPA
1	contig117589|RAVER2|11
6	contig117635|TECTB|8
1	contig117691|XRRA1|11
7	contig117782|PSMD14|8
2	contig117795|PSME4|8
3	contig117832|NAF1|11
5	contig117858|ABLIM2|6
2	contig117873|FARS2|8
6	contig117956|TOR4A|8
6	contig118040|AES|6
2	contig118076|CDKAL1|1
2	contig118146|CWF19L1|6
3	contig118160|ATG4C|3
2	contig118222|SCGN|11
1	contig118229|CAMTA2|11
8	contig118269|POLG2|11
1	contig118274|AIFM1|8
2	contig118516|FGF13|6
2	contig118642|C6orf70|8
7	contig118810|XPNPEP1|6
8	contig118831|MRPL13|6
5	contig118943|CD247|6
2	contig119267|DDX42|6
4	contig119734|TPI1|3
13	contig119867|C11orf67|11
2	contig119883|CDO1|11
3	contig120620|NUDT7|11
2	contig120644|PFDN2|3
7	contig120917|NDUFA6|8
1	contig122272|CPD|9
1	contig122275|FKBP10|8
2	contig122293|EDEM3|6
4	contig122300|VAT1|8
3	contig122341|APC|11
5	contig122345|MLEC|6
6	contig122360|MKL1|9
7	contig122366|FAM102B|6
5	contig122412|ZNF259|11
4	contig122418|DNAJC5|6
2	contig122436|COL5A2|11
1	contig122452|DGCR8|6
6	contig122468|BROX|2
1	contig122492|PC|6
10	contig122515|NOL8|11
1	contig122541|CLCA2|11
1	contig122550|VPS13A|8
2	contig122558|SULF2|6
5	contig122564|PRRC2B|11
1	contig122599|TEX2|8
1	contig122622|NSF|8
2	contig122737|REXO4|6
3	contig122744|SIPA1L1|9
1	contig122752|MMP13|6
2	contig122765|TMED4|8
1	contig122772|FUBP1|7
1	contig122779|ANKRD27|6
2	contig122807|DHX15|6
4	contig122814|ZMYM2|11
6	contig122842|CAPN8|11
1	contig122937|SLC25A46|11
8	contig122987|GAA|11
2	contig123024|VASH1|12
6	contig123031|PHTF1|11
1	contig123040|DLD|6
2	contig123068|ZNF687|11
9	contig123152|TMUB2|11
4	contig123183|NAA40|6
5	contig123206|PTRH2|6
2	contig123256|GAS2L3|11
3	contig123271|BCAS3|3
12	contig123339|RIPK2|6
3	contig123346|BTBD9|11
2	contig123353|USP16|6
6	contig123376|CENPQ|12
1	contig123395|EFHC1|11
5	contig123403|PDE8A|6
3	contig123454|EIF4B|11
4	contig123458|EDEM2|11
6	contig123493|GALE|8
4	contig123530|TRIM29|11
3	contig123563|CCNL1|11
4	contig123710|TFAP2C|8
1	contig123745|MED13|11
2	contig123776|MRPS16|8
1	contig123803|INF2|11
1	contig123866|DCAF8|3
2	contig123893|HERC5|11
1	contig123928|FLOT1|6
1	contig124088|DLG3|3
6	contig124104|BET1|8
1	contig124110|MIDN|6
1	contig124118|CTU1|11
3	contig124124|PRR14L|11
2	contig124137|LOXHD1|11
1	contig124144|ZNF367|11
4	contig124161|CDC123|3
1	contig124223|CTU2|8
4	contig124343|TNNI3K|6
12	contig124361|TMLHE|11
1	contig124369|COG5|6
3	contig124489|PTPN12|11
1	contig124505|DUS2L|6
4	contig124524|ICMT|11
2	contig124531|CEP55|11
1	contig124564|PDLIM7|6
4	contig124579|RPN2|5
7	contig124630|HGSNAT|11
5	contig124720|PSMB8|11
4	contig124754|CRYL1|6
4	contig124893|BHMT|6
3	contig124978|SPATA5L1|9
1	contig125111|HERPUD2|11
7	contig125176|SRSF1|11
1	contig125201|BSG|6
2	contig125215|COMMD10|8
9	contig125314|ACOX3|7
