Target	Length
gi194293376|E24C2|OPA	395
Tig_NM_003452_Contig_1|E24C3|OPA	400
Tig_NM_002386_Contig_1|E5A8|OPA	400
gi3789977|Gnat1|OPA	421
gi28200440|Slc4a4|OPA	223
gi62424|Wnt1|OPA	421
contig317689|E9E9|OPA	398
OPA2a|E6E9|OPA	88
OPA2b|Gnat2.2|OPA	121
contig328117|Ctg325|OPA	417
contig329609|Dlx3|OPA	421
contig140152|E10C8|OPA	186
contig89920|E10E3|OPA	194
contig316240|E11G11|OPA	399
contig190010|E12A1|OPA	385
contig203686|E12A6|OPA	402
contig133841|E12E1|OPA	380
contig315781|E12G10|OPA	388
contig314477|E12G2|OPA	421
contig221067|E12G3|OPA	421
contig133947|E12G4|OPA	380
contig94276|E12G5|OPA	359
contig316124|E13A6|OPA	390
contig315137|E13A7|OPA	379
contig59289|E13C1|OPA	400
contig123110|E13E2.2|OPA	351
contig319051|E13E6|OPA	421
contig160155|E13E9|OPA	391
contig318999|E14A2|OPA	382
contig145725|E14A6|OPA	390
contig336847|E14E10|OPA	394
contig314422|E14E3|OPA	391
contig314564|E14G11|OPA	391
contig141658|E14G7|OPA	397
contig07102|E15A1|OPA	380
contig315142|E15A11|OPA	391
contig317689|E15A3|OPA	391
contig203242|E15C10|OPA	389
contig189275|E15E12|OPA	366
contig42365|E15E3|OPA	393
contig144685|E15E9|OPA	381
contig96016|E15G5|OPA	397
contig183135|E16A9|OPA	383
contig94317|E16C4|OPA	372
contig712508|E16C7|OPA	420
contig202024|E16G1|OPA	420
contig333571|E17E11|OPA	401
contig208590|E17E6|OPA	395
contig316455|E18A10.2|OPA	391
contig06937|E18G2|OPA	169
contig00003|E19A4|OPA	388
contig212626|E19C1|OPA	394
contig208408|E19E12|OPA	420
contig190113|E20C2|OPA	387
contig01346|E20C7|OPA	376
contig04743|E20E5|OPA	379
contig183107|E21A3|OPA	421
contig183065|E21A4|OPA	379
contig131711|E21A5|OPA	385
contig207534|E21C8|OPA	398
contig05907|E21E4|OPA	322
contig194787|E23C6|OPA	398
contig209841|E24A6|OPA	421
contig201408|E25A12|OPA	381
contig72432|E32E10|OPA	368
contig210267|E37C1|OPA	371
contig183579|E40G1|OPA	369
contig158554|E41E12|OPA	318
contig96016|E47G12|OPA	375
contig314828|E53E5|OPA	399
contig204294|E6A6|OPA	384
contig117571|E6C2|OPA	419
contig316443|E6C6|OPA	384
contig92516|E6C8|OPA	420
contig76504|E6E11|OPA	212
contig192171|E6E7|OPA	393
contig51811|E6G5|OPA	266
contig13670|E6G8|OPA	422
contig204882|E7A5|OPA	418
contig101661|E7C7|OPA	390
contig03967|E7E8|OPA	410
contig1028088|E7G10|OPA	248
contig37208|E7G2|OPA	280
contig314663|E8C10|OPA	398
contig327266|E8E2.2|OPA	407
contig446525|HOXB13.2|OPA	420
contig623560|HoxD8|OPA	402
contig221658|ACRC|12	415
contig342670|CREG2|6	199
contig320829|CHRNE|8	303
contig105256|DCTN6|3	193
contig188757|JAK1|11	241
contig163652|ATP10B|11	184
contig140934|PCBP3|3	309
contig201789|LDB1|6	227
contig61627|EDARADD|8	440
contig354203|LRRC17|11	440
contig315982|SSFA2|9	260
contig320432|LHFPL5|8	234
contig315603|PGGT1B|3	345
contig167923|UBAC1|6	224
contig111705|ACTR1B|6	338
contig318883|HPX|11	284
contig352615|ENC1|8	224
contig220134|PRRG3|9	229
contig156119|ZNF438|11	383
contig122564|PRRC2B|11	308
contig102910|CMBL|8	176
contig222075|AKD1|8	165
contig320628|C14orf49|8	178
contig202542|LCP1|11	291
contig110178|GPX4|8	151
contig118642|C6orf70|8	332
contig332783|WDR16|6	276
contig325517|EIF4A3|1	287
contig156279|NPAT|11	263
contig319598|KLHDC2|9	217
contig190155|UBE2G2|6	267
contig314732|SENP1|11	254
contig183262|CEP135|12	405
contig317113|CNTRL|11	342
contig141940|INTS5|11	277
contig582926|NAT14|6	152
contig317386|C14orf21|11	365
contig314771|TMEM179B|11	384
contig118146|CWF19L1|6	332
contig314358|SSBP3|6	307
contig314639|ZDHHC1|11	217
contig574634|HES6|11	302
contig188851|ADNP2|8	415
contig318928|IQCB1|11	396
contig207720|ABT1|8	279
contig156049|MAP1B|12	359
