"Target"	"AverageTargetDepthAcrossHSP"	"max100AverageTargetDepth"	"Length"	"informativeSNPs"
"1"	"contig00003|E19A4|OPA"	12.613540164167	15.3680791774806	388	2
"2"	"contig01346|E20C7|OPA"	12.7969556306204	15.3990884098662	376	3
"3"	"contig03967|E7E8|OPA"	14.1285259092589	17.5862664070905	410	8
"4"	"contig04743|E20E5|OPA"	12.9556144201831	15.6569070366496	379	8
"5"	"contig05907|E21E4|OPA"	13.9020645817835	16.2617921578202	322	8
"6"	"contig07102|E15A1|OPA"	7.83047579758623	9.81706515716509	380	3
"7"	"contig100034|ITGB1BP1|6"	13.3915445604325	16.1193253793268	329	6
"8"	"contig100104|MPHOSPH6|2"	12.6598147946175	15.2993953269055	356	4
"9"	"contig100772|PSMB3|8"	5.88771251317149	6.53785133977328	176	1
"10"	"contig100786|SACS|12"	4.68048634410277	5.31225677115073	184	7
"11"	"contig100795|PIK3R2|9"	5.45606277026653	6.04716984853818	314	3
"12"	"contig100813|PIK3R1|2"	6.25373150020749	6.96891168314309	185	1
"15"	"contig100859|TFPI|12"	9.15541754488636	12.1191221279813	365	7
"16"	"contig100879|AP3B2|8"	7.12271186387736	8.44828376995291	200	1
"17"	"contig100887|ANKRD11|11"	8.60256468513874	10.2026563624158	363	1
"19"	"contig100960|B4GALT3|11"	10.5063528507036	12.3260031511133	330	5
"20"	"contig100976|SNX13|3"	9.25868687763771	10.4712233687651	243	2
"21"	"contig100985|AIFM3|11"	5.19048032152179	5.70635906980254	180	1
"22"	"contig101005|APRT|8"	10.3261202848851	13.1757794014469	377	8
"23"	"contig101023|PLEKHM2|6"	4.78853202168374	5.50899681278117	185	2
"24"	"contig101030|DPP3|11"	12.0062586193684	14.1679539410164	384	9
"25"	"contig101056|PACRG|9"	23.6512291672622	25.8408498685778	215	1
"26"	"contig101087|MAT2A|6"	3.8716982042895	5.06380329951382	332	5
"27"	"contig101093|UHRF2|8"	9.93434375872079	11.6148937413313	272	3
"30"	"contig101309|UNC93B1|6"	7.84633113105894	8.41446277024636	156	2
"31"	"contig101337|KIF20B|12"	10.798854671561	14.1866154676324	357	2
"32"	"contig101346|CASP5|6"	6.8998834081421	7.88242072670527	432	4
"34"	"contig101425|CEP19|3"	9.18985033541327	10.5013719209804	237	5
"36"	"contig101527|C12orf51|9"	8.99773834521738	9.940611281871	204	2
"37"	"contig101569|POLK|8"	9.25414841093618	9.84298742192018	354	1
"38"	"contig101614|SENP5|8"	9.92674906265875	12.1558920691178	356	2
"39"	"contig101632|PIGL|12"	12.6340389762677	15.7621237391702	438	9
"40"	"contig101654|POLA2|8"	7.51117998354909	7.62600474145346	182	1
"41"	"contig101661|E7C7|OPA"	9.7846111975021	11.92611032922	390	6
"42"	"contig101984|TMEM213|11"	4.46047409827767	5.49004346850273	267	7
"43"	"contig102182|PDLIM3|6"	5.30713400907556	5.93016283728655	186	2
"44"	"contig102193|PHB|6"	9.05262055797936	12.7039473839815	260	1
"47"	"contig102622|MRPL27|8"	5.74903430973697	6.657797214566	195	2
"49"	"contig1028088|E7G10|OPA"	12.7132984489071	14.816340147322	248	1
"51"	"contig102910|CMBL|8"	10.8673584274071	11.8483622502096	176	1
"52"	"contig102955|AGPHD1|8"	7.98325071845227	10.0883073183935	360	2
"53"	"contig1031606|ATP11C|9"	7.68510691351447	8.30068834166214	155	3
"54"	"contig104432|NUPL1|8"	10.7091374367212	12.7753739730745	300	1
"57"	"contig104501|SPC24|11"	21.0952495496477	24.9377064855636	370	8
"58"	"contig104503|MRPL40|8"	11.1738519795932	13.5204190692056	297	7
"60"	"contig104602|HSD17B10|6"	9.68295257761735	12.6499700992353	335	10
"61"	"contig104666|CISD1|8"	13.6398706537925	17.5705969287069	439	5
"63"	"contig104751|NUB1|8"	5.16578260952465	5.77019640086873	187	3
"64"	"contig104873|ZDHHC3|7"	11.8162404608521	13.8870755766124	267	3
"66"	"contig104915|SH3BP5|8"	4.43769729986183	5.18609859469109	257	4
"69"	"contig104959|SYTL5|6"	9.40701310996858	11.7971073976355	384	7
"70"	"contig105042|PKIA|11"	4.21554084398572	5.30567749155182	249	4
"71"	"contig105098|CDH18|6"	7.87173162145668	9.78573270667527	315	1
"72"	"contig105176|PTS|11"	17.99270110106	22.7012941760395	373	2
"73"	"contig105227|RNF220|6"	9.5764429042694	11.9343906694296	349	1
"75"	"contig105584|XPO4|6"	15.5758516620855	18.0252855675493	361	3
"76"	"contig105591|XIRP2|12"	11.2914612819733	13.6470228338573	328	5
"77"	"contig105632|KPNA4|3"	17.2633065851199	19.881195871476	332	1
"78"	"contig105650|ACO1|6"	10.2442700173706	12.0948085905415	322	1
"79"	"contig105655|COPA|8"	8.61494838872109	9.86253264276273	259	1
"80"	"contig105776|C12orf43|9"	8.10589664998954	9.51787705218436	252	5
"81"	"contig106313|VCAN|11"	5.1176120365668	6.32918676108509	316	6
"82"	"contig106323|KDM5A|11"	8.81050105505498	11.5848009101407	382	5
"83"	"contig106335|TMEM43|6"	4.50105054541696	5.72551045017691	313	7
"84"	"contig106371|FARSB|6"	5.03489550449972	7.26415921679527	384	11
"85"	"contig106384|TES|11"	6.78153418876859	7.99495778749873	224	6
"86"	"contig106393|OGT|6"	5.50275532218538	6.50945592583346	250	1
"87"	"contig106399|CHD6|11"	11.1036058514838	13.7670435696235	331	2
"88"	"contig106418|CEP170|6"	11.6253958557517	15.3851390086578	411	2
"89"	"contig106433|SLC7A1|7"	8.81029277244857	10.7641723233249	368	2
"90"	"contig106456|MAPRE2|11"	5.38037380038732	6.03673261652364	186	2
"91"	"contig106487|RNF8|6"	11.3010025296448	14.5444004930404	380	4
"92"	"contig106521|CMKLR1|12"	12.8633497451352	15.9784231323787	357	5
"93"	"contig106537|MIER3|7"	8.08112427350802	8.66017950486465	298	1
"94"	"contig106545|MYO10|12"	11.0936826605586	14.2714771025035	417	2
"95"	"contig106553|SDF4|11"	8.28825876549121	10.8581157455996	303	2
"96"	"contig106569|MTMR14|11"	7.46493703198813	9.42236156494218	305	1
"97"	"contig106609|KITLG|11"	5.82302755163282	6.36502805704309	306	3
"98"	"contig106631|WDR45L|3"	11.0915329662555	12.3944869314189	220	1
"99"	"contig106641|TP53RK|6"	8.88927987506759	10.7319157739664	248	3
"100"	"contig106719|OGFOD2|8"	15.2822426094493	17.1317274302507	222	4
"101"	"contig106755|FAM18B1|4"	5.70300119491196	6.047880357788	221	3
"102"	"contig106762|FAM172A|8"	6.00164847837166	7.35061891134945	291	4
"105"	"contig106999|GNG11|6"	10.9616683190912	12.2621898534791	220	5
"108"	"contig107147|C1orf123|8"	17.1857690108939	20.5990967399189	349	4
"109"	"contig107241|NDUFAF1|6"	5.1199054036297	6.14878216205577	240	3
"110"	"contig107255|RUNX1|6"	9.09840024679158	11.4803758623482	296	1
"111"	"contig107274|ASMTL|7"	13.4153459817755	16.5067364596045	263	3
