"Target"	"AverageTargetDepthAcrossHSP"	"max100AverageTargetDepth"	"Length"
"1"	"contig00003|E19A4|OPA"	12.613540164167	15.3680791774806	388
"2"	"contig00061|TTN|8"	10.5593932413019	12.0989087196683	301
"3"	"contig01346|E20C7|OPA"	12.7969556306204	15.3990884098662	376
"4"	"contig03967|E7E8|OPA"	14.1285259092589	17.5862664070905	410
"5"	"contig04743|E20E5|OPA"	12.9556144201831	15.6569070366496	379
"6"	"contig05907|E21E4|OPA"	13.9020645817835	16.2617921578202	322
"7"	"contig06937|E18G2|OPA"	33.5562564404989	37.3034935292309	169
"8"	"contig07102|E15A1|OPA"	7.83047579758623	9.81706515716509	380
"9"	"contig100034|ITGB1BP1|6"	13.3915445604325	16.1193253793268	329
"10"	"contig100104|MPHOSPH6|2"	12.6598147946175	15.2993953269055	356
"11"	"contig1003594|ST6GALNAC3|11"	8.02887865813739	8.64388293523927	178
"12"	"contig100772|PSMB3|8"	5.88771251317149	6.53785133977328	176
"13"	"contig100786|SACS|12"	4.68048634410277	5.31225677115073	184
"14"	"contig100795|PIK3R2|9"	5.45606277026653	6.04716984853818	314
"15"	"contig100813|PIK3R1|2"	6.25373150020749	6.96891168314309	185
"18"	"contig100859|TFPI|12"	9.15541754488636	12.1191221279813	365
"19"	"contig100879|AP3B2|8"	7.12271186387736	8.44828376995291	200
"20"	"contig100887|ANKRD11|11"	8.60256468513874	10.2026563624158	363
"21"	"contig100896|MYH1|5"	66.925493541471	77.0793719442449	322
"23"	"contig100931|TTLL12|6"	6.86786205882601	7.3071304622653	300
"24"	"contig100960|B4GALT3|11"	10.5063528507036	12.3260031511133	330
"25"	"contig100976|SNX13|3"	9.25868687763771	10.4712233687651	243
"26"	"contig100985|AIFM3|11"	5.19048032152179	5.70635906980254	180
"27"	"contig101005|APRT|8"	10.3261202848851	13.1757794014469	377
"28"	"contig101012|TMEM165|6"	6.54037681551648	7.90646800068164	224
"29"	"contig101023|PLEKHM2|6"	4.78853202168374	5.50899681278117	185
"30"	"contig101030|DPP3|11"	12.0062586193684	14.1679539410164	384
"31"	"contig101039|GTF2I|7"	5.60206047760268	6.27499982034254	372
"32"	"contig101056|PACRG|9"	23.6512291672622	25.8408498685778	215
"34"	"contig101087|MAT2A|6"	3.8716982042895	5.06380329951382	332
"35"	"contig101093|UHRF2|8"	9.93434375872079	11.6148937413313	272
"38"	"contig101309|UNC93B1|6"	7.84633113105894	8.41446277024636	156
"39"	"contig101337|KIF20B|12"	10.798854671561	14.1866154676324	357
"40"	"contig101346|CASP5|6"	6.8998834081421	7.88242072670527	432
"42"	"contig101425|CEP19|3"	9.18985033541327	10.5013719209804	237
